"filename", "language", "Markdown", "Python", "MS SQL", "JSON with Comments", "XML", "JSON", "JavaScript", "Properties", "HTML", "YAML", "vue", "PostCSS", "Java", "comment", "blank", "total"
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\DocumentController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 43, 36, 252
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\EmployeeManagementController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 33, 14, 111
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\LeaveApplicationController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 15, 35, 215
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\MessageController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 16, 17, 87
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\OrganizationController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 24, 10, 109
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\RoleController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 43, 40, 283
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\TaskController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 10, 5, 38
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\WorkflowEngineController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 39, 24, 235
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\WorkflowInstanceController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 15, 40, 277
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\WorkflowTemplateController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 36, 21, 194
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\DocumentProcessRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\LoginRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 8, 11, 54
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\LoginResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 13, 37, 176
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\StartWorkflowRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 27, 11, 57
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskCommentRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskCreateRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 4, 22
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskQueryRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 4, 21
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskUpdateRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\WorkflowTaskRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 21, 9, 45
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\WorkflowTemplateRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 105, 37, 202
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Announcement.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 9, 37, 149
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\AttendanceRecord.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 9, 40, 160
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\CollaborativeDocument.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 14, 48
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\CollaborativeOperation.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 10, 36
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\CollaborativeSession.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 13, 45
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Department.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 9, 43, 171
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Document.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 20, 66
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Employee.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 9, 37, 148
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\LeaveApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 11, 61, 242
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Role.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 8, 25, 102
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Task.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 26, 84
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\TaskComment.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 54
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 8, 35, 149
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowCondition.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 39, 16, 91
