"filename", "language", "Markdown", "Python", "JSON", "HTML", "JavaScript", "XML", "JSON with Comments", "vue", "YAML", "PostCSS", "Properties", "Java", "MS SQL", "comment", "blank", "total"
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\tasks\components\TaskFormDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 37, 378
"d:\项目\综合课程设计\SOMS-5\employee-frontend\vite.config.js", "JavaScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 65
"d:\项目\综合课程设计\SOMS-5\package-lock.json", "JSON", 0, 0, 479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 480
"d:\项目\综合课程设计\SOMS-5\package.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\项目\综合课程设计\SOMS-5\shared\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\项目\综合课程设计\SOMS-5\shared\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 5, 6, 84
"d:\项目\综合课程设计\SOMS-5\shared\nginx\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 3, 13, 74
"d:\项目\综合课程设计\SOMS-5\sql\collaborative_editing_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 12, 7, 108
"d:\项目\综合课程设计\SOMS-5\test_xml.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"d:\项目\综合课程设计\SOMS-5\功能清单.md", "Markdown", 376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 492
"d:\项目\综合课程设计\SOMS-5\记忆.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"Total", "-", 906, 16, 5432, 26, 5302, 507, 12, 28829, 257, 272, 58, 20498, 786, 5099, 8235, 76235
